CanonicalSMILES	MW	LogP	TPSA	HBA	HBD	RotB
[N][#C][C][C][C][C][N][Ring1][Branch1][C][=Branch1][C][=O][C][N][C][C][C][C][C][C][C][C][C][C][C][C][Ring1][N]	319.49300000000017	3.763880000000002	56.13	3	1	3
[N][#C][C][C][C][C][N][Ring1][Branch1][C][=Branch1][C][=O][C][N][C][C][C][=C][C][=C][C][=C][Ring1][=Branch1]	257.337	1.3332799999999996	56.13	3	1	5
[N][C][Branch2][Ring1][C][C][=Branch1][C][=O][N][C][C][C][Branch1][C][F][Branch1][C][F][C][Ring1][#Branch1][C][C][C][C][Branch1][S][N][C][=Branch1][C][=O][O][C][C][=C][C][=C][C][=C][Ring1][=Branch1][C][C][Ring1][P]	395.45000000000016	2.6665	84.66000000000001	4	2	5
[C][C][Branch1][C][N][C][=Branch1][C][=O][N][C][=C][C][=C][Branch2][Ring2][S][O][P][=Branch1][C][=O][Branch2][Ring1][=Branch1][O][C][=C][C][=C][Branch1][O][N][C][=Branch1][C][=O][C][Branch1][C][C][N][C][=C][Ring1][N][C][C][C][C][N][Ring1][Branch1][C][=Branch1][C][=O][C][C][C][C][N][Ring1][Branch1][C][=C][Ring2][Ring2][C]	572.6030000000002	2.6094	178.11000000000004	9	5	10
[C][C][Branch2][Ring1][Ring1][C][=C][C][=C][Branch1][=Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=C][Ring1][N][C][Branch1][C][N][C][=Branch1][C][=O][N][C][C][C][Branch1][C][F][C][Ring1][=Branch1]	326.41500000000013	3.354800000000002	46.330000000000005	2	1	4
[C][C][C][=C][N][N][=C][C][=Branch1][#Branch1][=C][Ring1][Branch1][N][=Ring1][=Branch2][C][N][Branch2][Ring1][=N][C][C][C][C][Branch1][S][C][=C][C][Branch1][C][F][=C][Branch1][C][F][C][=C][Ring1][Branch2][F][C][Branch1][C][N][C][Ring1][S][C][Ring2][Ring1][#Branch1]	401.43600000000015	3.4342200000000016	59.45	5	1	2
[C][C][=C][C][Branch1][=Branch2][C][Branch1][C][F][Branch1][C][F][F][=N][C][=C][C][=Branch1][#Branch1][=N][N][Ring1][=N][Ring1][Branch1][C][N][Branch2][Ring1][=N][C][C][C][C][Branch1][S][C][=C][C][Branch1][C][F][=C][Branch1][C][F][C][=C][Ring1][Branch2][F][C][Branch1][C][N][C][Ring1][S][C][Ring2][Ring1][#Branch1]	469.4330000000002	4.453020000000003	59.45	5	1	2
[C][C][=C][C][=N][C][=C][C][=Branch1][#Branch1][=N][N][Ring1][=Branch2][Ring1][Branch1][C][N][Branch2][Ring1][=N][C][C][O][C][Branch1][S][C][=C][C][Branch1][C][F][=C][Branch1][C][F][C][=C][Ring1][Branch2][F][C][Branch1][C][N][C][Ring1][S][C][Ring2][Ring1][#Branch1]	403.4080000000001	2.628120000000001	68.67999999999999	6	1	2
[C][C][=C][C][=N][C][=C][C][=Branch1][#Branch1][=N][N][Ring1][=Branch2][Ring1][Branch1][C][N][Branch2][Ring1][=N][C][C][C][C][Branch1][S][C][=C][C][Branch1][C][F][=C][Branch1][C][F][C][=C][Ring1][Branch2][F][C][Branch1][C][N][C][Ring1][S][C][Ring2][Ring1][#Branch1]	401.43600000000015	3.4342200000000016	59.45	5	1	2
[N][C][C][C][Branch2][Ring1][=N][N][C][C][=N][N][C][=C][C][Branch1][=Branch2][C][Branch1][C][F][Branch1][C][F][F][=N][C][Ring1][#Branch2][=C][Ring1][=N][C][Ring1][S][C][C][C][Ring2][Ring1][=Branch1][C][=C][C][Branch1][C][F][=C][Branch1][C][F][C][=C][Ring1][Branch2][F]	455.4060000000002	4.144600000000003	59.45	5	1	2
