CanonicalSMILES	MW	LogP	TPSA	HBA	HBD	RotB
[C][C][O][C][Branch1][=Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][=N][C][=Ring1][O][C][C][O][C][=C][C][=C][Branch2][Ring1][Branch1][C][C][Branch1][=Branch1][C][=Branch1][C][=O][O][N][C][Branch1][C][C][=C][C][=C][Ring1][=Branch1][C][C][=C][Ring2][Ring1][C]	444.5310000000002	5.558260000000004	77.49000000000001	5	1	9
[C][C][O][C][Branch2][Branch1][O][C][C][=C][C][=C][Branch2][Ring2][=C][O][C][C][=N][C][Branch1][=N][C][=C][C][=C][Branch1][Ring1][O][C][C][=C][Ring1][Branch2][=C][Branch2][Ring1][Ring1][C][=C][C][=C][Branch1][=Branch2][C][Branch1][C][F][Branch1][C][F][F][C][=C][Ring1][#Branch2][S][Ring2][Ring1][#Branch1][C][=C][Ring2][Ring1][#C][C][=Branch1][C][=O][O]	557.5900000000003	7.115700000000007	77.88	6	1	11
[C][O][C][=C][C][=C][Branch2][Ring2][S][C][N][=C][Branch2][Ring1][=Branch2][S][C][C][C][C][O][C][=C][C][=C][Branch1][Branch2][O][C][C][=Branch1][C][=O][O][C][=C][Ring1][O][Cl][S][C][=Ring2][Ring1][#Branch1][C][=C][C][=C][Branch1][Ring1][O][C][C][=C][Ring1][Branch2][C][=C][Ring2][Ring2][Branch1]	586.1310000000002	7.5624000000000065	87.11	8	1	14
[C][O][C][=C][C][=C][Branch2][Ring2][#C][C][N][=C][Branch2][Ring1][Branch2][S][C][C][C][O][C][=C][C][=C][Branch1][Branch2][O][C][C][=Branch1][C][=O][O][C][=C][Ring1][O][Cl][S][C][=Ring2][Ring1][=Branch1][C][=C][C][=C][Branch1][Ring1][O][C][C][=C][Ring1][Branch2][C][=C][Ring2][Ring2][Ring2]	572.1040000000003	7.172300000000006	87.11	8	1	13
[C][O][C][=C][C][=C][Branch2][Ring2][=C][C][N][=C][Branch2][Ring1][#Branch1][S][C][C][O][C][=C][C][=C][Branch1][Branch2][O][C][C][=Branch1][C][=O][O][C][=C][Ring1][O][Cl][S][C][=Ring2][Ring1][Branch1][C][=C][C][=C][Branch1][Ring1][O][C][C][=C][Ring1][Branch2][C][=C][Ring2][Ring2][Ring1]	558.0770000000002	6.782200000000006	87.11	8	1	12
[C][O][C][=C][C][=C][Branch2][Ring2][O][C][N][=C][Branch2][Ring1][Branch1][S][C][=C][C][=C][C][Branch1][#Branch2][C][Branch1][C][C][C][=Branch1][C][=O][O][=C][Ring1][O][S][C][=Ring1][P][C][=C][C][=C][Branch1][Ring1][O][C][C][=C][Ring1][Branch2][C][=C][Ring2][Ring1][#C]	477.6070000000002	6.833600000000006	68.65	6	1	8
[C][C][=C][C][Branch2][Branch1][Ring1][O][C][C][=N][C][Branch1][P][C][=C][N][=C][Branch1][#Branch1][O][C][Branch1][C][C][C][N][=C][Ring1][#Branch2][=C][Branch2][Ring1][Ring2][C][=C][C][=C][Branch1][#Branch2][O][C][Branch1][C][F][Branch1][C][F][F][C][=C][Ring1][O][O][Ring2][Ring1][#Branch2][=C][C][=C][Ring2][Ring2][C][O][C][C][=Branch1][C][=O][O]	559.4970000000002	5.835220000000005	126.03000000000002	9	1	11
[C][O][C][=C][C][=C][Branch2][Branch1][C][C][N][=C][Branch2][Ring1][O][S][C][C][C][C][O][C][=C][C][=C][Branch1][Branch2][O][C][C][=Branch1][C][=O][O][C][Branch1][C][C][=C][Ring1][N][S][C][=Ring2][Ring1][#Branch1][C][=C][C][=C][Branch1][Ring1][O][C][C][=C][Ring1][Branch2][C][=C][Ring2][Ring2][Branch1]	565.7130000000003	7.217420000000007	87.11	8	1	14
[C][O][C][=C][C][=C][Branch2][Ring2][P][C][N][=C][Branch2][Ring1][#Branch2][S][C][C][C][O][C][=C][C][=C][Branch1][Branch2][O][C][C][=Branch1][C][=O][O][C][Branch1][C][C][=C][Ring1][N][S][C][=Ring2][Ring1][=Branch1][C][=C][C][=C][Branch1][Ring1][O][C][C][=C][Ring1][Branch2][C][=C][Ring2][Ring2][Ring2]	551.6860000000004	6.827320000000007	87.11	8	1	13
[C][O][C][=C][C][=C][Branch2][Ring2][S][C][N][=C][Branch2][Ring1][=Branch2][S][C][C][O][C][=C][C][=C][Branch1][Branch2][O][C][C][=Branch1][C][=O][O][C][Branch1][C][C][=C][Ring1][N][S][C][=Ring2][Ring1][Branch1][C][=C][C][=C][Branch1][Ring1][O][C][C][=C][Ring1][Branch2][C][=C][Ring2][Ring2][Ring1]	537.6590000000003	6.437220000000006	87.11	8	1	12
