CanonicalSMILES	MW	LogP	TPSA	HBA	HBD	RotB
CN1CC=CCOCC2=CC=C(O2)C3=CC=NC(=N3)NC4=CC=CC(=C4)C1	362.4330000000001	3.998400000000003	63.42	6	1	0
CN1CC=CCOCC2=CC=C(S2)C3=CC=NC(=N3)NC4=CC=C(OCCN5CCCC5)C(=C4)C1	491.66100000000046	4.941500000000004	62.75000000000001	8	1	4
CCC(NC1=NC(NCC2=CC=CN=C2)=C3N=CN(C(C)C)C3=N1)C(O)C(F)(F)F	423.4430000000001	3.5280000000000027	100.78	8	3	8
COC1=CC=C(CNC=C2C(=O)NC(=O)C3=CC=C(C=4C=COC=4)C=C32)C=C1O	390.39500000000015	3.061500000000002	100.8	6	3	5
O=C(CC1=CC=C(CC2=CC=CS2)C=C1)NC=3C=C(C4CC4)[NH1]N=3	337.4480000000001	4.120600000000001	57.78	3	2	6
CC=1N=C2C=CC=CN2C=1C3=CC=NC(NC4=CC=C(OCC(O)CN(C)C)C=C4)=N3	418.5010000000002	3.144620000000001	87.81	8	2	8
O=C(NC1CCNCC1)C2=N[NH1]C=C2NC(=O)C3=C(F)C=CC=C3Cl	365.7960000000001	1.9362999999999988	98.91	4	4	4
CCCS(=O)(=O)C1=CC=C(NC2=NC=CC(C3=CN=C(C)N3C(C)C)=N2)C=C1	399.52000000000015	4.156720000000003	89.77	7	1	7
CNS(=O)(=O)C1=CC=C(NC=C2C(=O)NC3=CC=C4N=CSC4=C32)C=C1	386.4580000000001	2.6095000000000006	100.19	6	3	4
NC=1N=C2C=CC(C(=O)C3=CC=CC=C3OC(F)(F)F)=CN2C=1C(=O)C4=C(F)C=CC=C4F	461.3460000000001	4.555300000000002	86.69	6	1	5
N#CC=C(C=1C=CC2=NC(N)=C(C(=O)C3=C(F)C=CC=C3F)N2C=1)C4=C(F)C=CC=C4F	436.36800000000005	4.659180000000002	84.18	5	1	4
CC(NC1=CC=C(S(N)(=O)=O)C=C1)=C2C(=O)NC3=CC=CC=C32	329.38100000000003	2.1292	101.29	4	3	3
O=C(NC1=N[NH1]C2=NC(C3=CC=C(O)C=C3)=C(Br)C=C12)C4CC4	373.21000000000015	3.4415000000000004	90.9	4	3	3
NS(=O)(=O)C1=CC=C(NN=C2C(=O)NC3=CC=C(O)C=C32)C=C1	332.34100000000007	0.8079000000000001	133.88	6	4	3
NS(=O)(=O)C1=CC=C(NN=C2C(=O)NC3=CC=C(I)C=C32)C=C1	442.23800000000006	1.7069	113.65	5	3	3
NS(=O)(=O)C1=CC=C(NN=C2C(=O)NC3=CC=CC([N+1](=O)[O-1])=C32)C=C1	361.3390000000001	1.0105000000000002	156.79000000000002	7	3	4
NS(=O)(=O)C1=CC=C(NC=C2C(=O)NC3=CC=C(C4=CN=CO4)C=C32)C=C1	382.4010000000001	2.3941	127.32	6	3	4
CNS(=O)(=O)C1=CC=C(NC=C2C(=O)NC3=CC=CC=C32)C=C1	329.38100000000003	1.9998	87.30000000000001	4	3	4
O=C(NC1CCNCC1)C2=N[NH1]C=C2NC(=O)C3=C(Cl)C=CC=C3Cl	382.2510000000001	2.4506	98.91	4	4	4
CC1=CC(N2CCCC2)=C3OC(C4=CC=C(O)C(O)=C4)=C(O)C(=O)C3=C1	353.37400000000014	3.485420000000002	94.14	6	3	2
CC1=CC(N2CCCS2(=O)=O)=C3OC(C4=CC=C(O)C=C4)=C(O)C(=O)C3=C1	387.4130000000001	2.719520000000001	108.05	6	2	2
NC=1N=C2C=CC(C(=O)C3=CC=CC=C3)=CN2C=1C(=O)C4=C(F)C=CC=C4F	377.3500000000001	3.6567000000000016	77.46000000000001	5	1	4
